index,name,servces,rating,bonus
1, Byron Burgers," American, Burgers, and Alcohol", 4.6 ,"Free
delivery"
2, Five Guys - Burger and Fries," American, Burgers, and Milkshakes", 4.7 ,"Free
delivery"
3, Nando's, Chicken and Burgers, 4.7 ,"Free
delivery"
4, Burger King," American, Burgers, and Fried chicken", 4.4 ,"Meal
deals"
5, Nando's - Kensington High Street, Chicken and Burgers, 4.8 ,"Free
delivery"
6, Honest Burgers ," American, Burgers, Wings, and British", 4.7 ,"Free
delivery"
7, VQ - Chelsea," Brunch, British, Burgers, and Breakfast", 4.7 ,"Free
delivery"
8, Gourmet Burger Kitchen (GBK)," American, Burgers, and Alcohol", 4.6 ,"Free
delivery"
9, LEON," Drinks, Dessert, British, and Burgers", 4.8 ,"Meal
deals"
10, Hache," Burgers, American, Chicken, and Alcohol", 4.6 ,"Free
delivery"
11, Jollibee ," Fried chicken, Wings, Burgers, and Sandwiches", 4.6 ,"Free
delivery"
12, Chosen Bun Burgers," American, Burgers, Milkshakes, and Chicken", 4.6 ,"Free
delivery"
13, Joe & Co," American, Burgers, Wings, and Dessert", 4.6 ,"15%
off"
14, Bleecker Burger," Burgers, American, and Milkshakes", 4.7 ,"Free
delivery"
15, Wing Wing," Chicken, American, Korean, and Wings", 4.6 ,"Meal
deals"
16, Fishers Fish and Chips," Fish and chips, Ice cream, British, and Burgers", 4.5 ,"Free
delivery"
17, Patty & Bun ," American, Burgers, Fried chicken, and Chicken", 4.6 ,"20%
off"
18, Big Fernand," French, Burgers, Chicken, and American", 4.7 ,"Meal
deals"
19, Simple Health Kitchen," Burgers, Chicken, Salads, and British", 4.8 ,"Free
delivery"
20, Yucca Tex-Mex," Mexican, Tapas, Tacos, and Burritos", 4.7 ,"Free
delivery"
21, Dirty Bones," Burgers, Chicken, American, and British", 4.5 ,"Free
delivery"
22, Clean Kitchen - Vegan," American, Salads, Burgers, and Healthy", 4.6 ,"30%
off"
23, Chicken Cottage," Chicken, Fried chicken, Wings, and American", 4.5 ,"10%
off"
24, Neat Burger - Plant Based🌱," American, Burgers, Milkshakes, and Dessert", 4.8 ,"20%
off"
25, BEER and BURGER STORE," Burgers, American, Alcohol, and Dessert", 4.6 ,"Free
delivery"
26, Lost Boys Chicken," American, Burgers, Chicken, and Fried chicken", 4.6 ,"20%
off"
27, Burger & Lobster ," American, Burgers, and Seafood", 4.7 ,
28, Dino's Pizza ," British, Pizza, Burgers, and Pasta", 4.0 ,
29, Bagel Kitchen," Dessert, Burgers, Bagels, and Drinks", 4.5 ,
30, BVRGER," American, Burgers, and Dessert", 4.7 ,
31, Notting Hill Kebab," Kebab, Middle Eastern, Burgers, and Fish and chips", 4.4 ,
32, Gourmet Burger Kitchen (GBK)," American, Burgers, and Alcohol", 4.5 ,
33, Jimmy's Burger Grill," American, Café, and Burgers", 4.6 ,
34, The Locals Chelsea," Salads, Sandwiches, Healthy, and Brunch", 4.9 ,
35, Gaucho," Steak, Argentinian, Burgers, and Alcohol", 4.5 ,
36, Parson's Green Fish Bar," British, Burgers, Fish and chips, and Pizza", 4.4 ,
37, Pepe's Piri Piri," Chicken, Fried chicken, and Burgers", 4.6 ,
38, Chick Pop," Burgers, American, Dessert, and Chicken", 4.6 ,
39, Foxden Restaurant," British, Burgers, Alcohol, and Chicken", 4.7 ,
40, EggsQuisite," British, Breakfast, Brunch, and American", 4.7 ,
41, Famous Pizza," Pizza, Burgers, Italian, and Chicken", 4.6 ,
42, Bluebird Chelsea Café," Salads, British, American, and Sandwiches", 4.7 ,
43, Dirty Vegan," American, Burgers, and Drinks", 4.6 ,
44, King of Wings," American, Dessert, Burgers, and Chicken", 4.7 ,
45, Amigos Burgers and Shakes," Burgers, Chicken, American, and Milkshakes", 4.3 ,
46, GFC Chicken Shop by LEON," Dessert, Burgers, Chicken, and American", 4.4 ,
47, Big Easy - Chelsea," BBQ, American, Burgers, and Salads", 4.4 ,
48, Tinseltown," American, Burgers, Chicken, and Milkshakes", 4.5 ,
49, Wicked Burgers ," American, Burgers, Chicken, and British", 4.5 ,
50, Chicken Hub - Paddington," Fried chicken, BBQ, Burgers, and Wraps", 4.5 ,
51, Roosters Piri Piri," Chicken, American, Dessert, and Burgers", 4.6 ,
52, Wraps & Wings," Burgers, Wraps, Wings, and Chicken", 4.4 ,
53, Wicked Wings," American, Chicken, Wings, and Burgers", 4.5 ,
54, Ocean Fresh ," Burgers, Chicken, American, and BBQ", 4.4 ,
55, Smack Lobster Roll ," American, Sandwiches, Burgers, and Seafood", 4.7 ,
56, Afrik 'N' Fusion," Chicken, African, Burgers, and Grill", 4.7 ,
57, Little Planted Kitchen ," British, Healthy, Salads, and Burgers", 4.7 ,
58, Filth & Co," Burgers, Milkshakes, and Drinks", 4.4 ,
59, Wulf & Lamb," Breakfast, Salads, Dessert, and Burgers", 4.8 ,
60, Siirgista Bros Burger Bar," Burgers, American, Milkshakes, and Wings", 4.5 ,
61, BrewDog," American, Alcohol, Burgers, and Drinks", 4.6 ,
62, FoodSlut x Mall Tavern Burger Collaboration," Burgers, American, Chicken, and Alcohol", 4.6 ,
63, Stecca," Italian, Pasta, Healthy, and Burgers", 4.7 ,
64, 🍔 🍖 Korean Food Truck 🍖🍔," Korean, Burgers, Chicken, and Asian", 4.6 ,
65, Urban Doner Kebab - German," Turkish, Kebab, German, and Burgers", 4.1 ,
66, South London Pizza," Pizza, Italian, Burgers, and Wraps", 3.8 ,
67, Lil’Pecker," Chicken, Dessert, American, and Milkshakes", 4.3 ,
68, Roosters Piri Piri ," Burgers, Chicken, Wraps, and Wings", 4.6 ,
69,  Intoku Artisan Sushi & Robata (Grill)," Japanese, Asian Fusion, Healthy, and Sushi", 4.6 ,
70, Big Mouth BBQ," American, Burgers, Chicken, and BBQ", 4.5 ,
