index,name,servces,rating,bonus
1, Nando's, Chicken and Burgers, 4.7 ,"Free
delivery"
2, Burger King," American, Burgers, and Fried chicken", 4.4 ,"Meal
deals"
3, Five Guys - Burger and Fries," American, Burgers, and Milkshakes", 4.8 ,"Free
delivery"
4, LEON," Drinks, Dessert, British, and Burgers", 4.7 ,"Meal
deals"
5, Nando's - Kensington High Street, Chicken and Burgers, 4.8 ,"Free
delivery"
6, Byron Burgers," American, Burgers, and Alcohol", 4.7 ,"Free
delivery"
7, Honest Burgers ," American, Burgers, Wings, and British", 4.7 ,
8, Gourmet Burger Kitchen (GBK)," American, Burgers, and Alcohol", 4.6 ,"Free
delivery"
9, VQ - Chelsea," Brunch, British, Burgers, and Breakfast", 4.7 ,"Free
delivery"
10, Jollibee ," Fried chicken, Wings, Burgers, and Sandwiches", 4.6 ,"Free
delivery"
11, Bleecker Burger," Burgers, American, and Milkshakes", 4.7 ,"Free
delivery"
12, Joe & Co," American, Burgers, Wings, and Dessert", 4.6 ,"15%
off"
13, Wing Wing," Chicken, American, Korean, and Wings", 4.6 ,"Meal
deals"
14, Big Fernand," French, Burgers, Chicken, and American", 4.7 ,"Meal
deals"
15, Hache," Burgers, American, Chicken, and Alcohol", 4.7 ,"Free
delivery"
16, Chosen Bun Burgers," American, Burgers, Milkshakes, and Chicken", 4.6 ,"Free
delivery"
17, Yucca Tex-Mex," Mexican, Tapas, Tacos, and Burritos", 4.7 ,"Free
delivery"
18, Fishers Fish and Chips," Fish and chips, Ice cream, British, and Burgers", 4.5 ,
19, BEER and BURGER STORE," Burgers, American, Alcohol, and Dessert", 4.6 ,"Free
delivery"
20, Dirty Bones," Burgers, Chicken, American, and British", 4.5 ,"Free
delivery"
21, Simple Health Kitchen," Burgers, Chicken, Salads, and British", 4.8 ,"Free
delivery"
22, Neat Burger - Plant Based🌱," American, Burgers, Milkshakes, and Dessert", 4.7 ,"20%
off"
23, Patty & Bun ," American, Burgers, Fried chicken, and Chicken", 4.6 ,"20%
off"
24, Lost Boys Chicken," American, Burgers, Chicken, and Fried chicken", 4.5 ,"20%
off"
25, Chicken Cottage," Chicken, Fried chicken, Wings, and American", 4.5 ,"10%
off"
26, Bagel Kitchen," Dessert, Burgers, Bagels, and Drinks", 4.5 ,"Free
delivery"
27, Clean Kitchen - Vegan," American, Salads, Burgers, and Healthy", 4.6 ,
28, GFC Chicken Shop by LEON," Dessert, Burgers, Chicken, and American",no rating,
29, Notting Hill Kebab," Kebab, Middle Eastern, Burgers, and Fish and chips", 4.4 ,
30, Gourmet Burger Kitchen (GBK)," American, Burgers, and Alcohol", 4.6 ,
31, Jimmy's Burger Grill," American, Café, and Burgers", 4.6 ,
32, BVRGER," American, Burgers, and Dessert", 4.7 ,
33, Love Walk Cafe," Brunch, Burgers, Café, and Breakfast", 4.7 ,
34, Gaucho," Steak, Argentinian, Burgers, and Alcohol", 4.5 ,
35, Parson's Green Fish Bar," British, Burgers, Fish and chips, and Pizza", 4.4 ,
36, The Locals Chelsea," Salads, Sandwiches, Healthy, and Brunch", 4.9 ,
37, Harrods Dining Hall," British, Italian, Pasta, and Steak", 4.8 ,
38, The Farmer's Mistress," British, Burgers, Salads, and Milkshakes", 4.8 ,
