index,name,services,rating,bonus
1, KFC ," Chicken, Fried chicken, American, and Wings", 4.4 ,"Free
delivery"
2, Nando's, Chicken and Burgers, 4.7 ,"Free
delivery"
3, Chic'n Wing," Fried chicken, Chicken, Wings, and Korean",no rating,"25%
off"
4, Wingstop," American, Wings, Fried chicken, and Chicken", 4.7 ,"Meal
deals"
5, Jakob's Kitchen," Mediterranean, Middle Eastern, Lebanese, and Chicken", 4.8 ,"25%
off"
6, ⚡ TASTY KOREA ⚡," Korean, Chicken, Noodles, and Ramen", 4.8 ,"Free
delivery"
7, Nando's - Kensington High Street, Chicken and Burgers, 4.8 ,"Free
delivery"
8, Joe & Co," American, Burgers, Wings, and Dessert", 4.6 ,"15%
off"
9, 🍖 Bullgogi 🍖," Korean, BBQ, Noodles, and Dumplings", 4.9 ,"Free
delivery"
10, Big Fernand," French, Burgers, Chicken, and American", 4.6 ,"Meal
deals"
11, Hache," Burgers, American, Chicken, and Alcohol", 4.7 ,"Free
delivery"
12, Chosen Bun Burgers," American, Burgers, Milkshakes, and Chicken", 4.6 ,"Free
delivery"
13, Pasta Evangelists ," Italian, Pasta, Healthy, and Seafood", 4.7 ,"Meal
deals"
14, Chilango," Burritos, Mexican, Chicken, and Salads", 4.7 ,"25%
off"
15, Patty & Bun ," American, Burgers, Fried chicken, and Chicken", 4.6 ,"Free
delivery"
16, Kalamaki Street Greek," Mediterranean, Greek, Salads, and Chicken", 4.7 ,"Meal
deals"
17, Simple Health Kitchen," Burgers, Chicken, Salads, and British", 4.8 ,"Free
delivery"
18, Waleema," Lebanese, Salads, Falafel, and Wraps", 4.7 ,"20%
off"
19, Wing Wing," Chicken, American, Korean, and Wings", 4.6 ,"Meal
deals"
20, Cocotte 🐓," Dessert, Chicken, Salads, and Healthy", 4.8 ,"15%
off"
21, Sugoi JPN," Japanese, Tacos, Sushi, and Chicken", 4.7 ,"30%
off"
22, Gold Mine Restaurant 金山楼," Chinese, Chicken, BBQ, and Seafood", 4.8 ,"Free
delivery"
23, The Doner Kebab," Lebanese, Kebab, Turkish, and Middle Eastern",no rating,"Meal
deals"
24, GFC Chicken Shop by LEON," Dessert, Burgers, Chicken, and American",no rating,"Free
delivery"
25, Dirty Bones," Burgers, Chicken, American, and British", 4.5 ,"Free
delivery"
26, Chicken Cottage," Chicken, Fried chicken, Wings, and American", 4.5 ,"10%
off"
27, Go Viet," Vietnamese, Noodles, Chicken, and Healthy", 4.8 ,
28, Clean Kitchen - Vegan," American, Salads, Burgers, and Healthy", 4.6 ,
29, Tian Fu 天府布衣," Chinese, Sichuan, Seafood, and Asian", 4.7 ,
30, Royal China," Asian, Chinese, Dim Sum, and Noodles", 4.6 ,
31, The Halal Guys," Chicken, Wraps, Mediterranean, and Greek", 4.6 ,
32, Muyang Hot Pot and BBQ Chinese 牧羊人餐馆," Chinese, Noodles, Chicken, and Dim Sum", 4.8 ,
33, Pasar Malam - Malay Eatery," Chicken, Noodles, Alcohol, and Asian", 4.4 ,
34, JRK Kitchen, Caribbean and Chicken, 4.7 ,
35, Remedy Kitchen," Healthy, Chicken, and Salads", 4.8 ,
36, Ishbilia," Lebanese, Chicken, Salads, and Mezze", 4.8 ,
37, Meiwei London 美味宮," Dim Sum, Chinese, Seafood, and Chicken", 4.6 ,
38, Korean Gangnam Style KFC," Korean, Fried chicken, Chicken, and BBQ", 4.6 ,
39, Duck & Noodle," Asian, Chinese, Noodles, and Chicken", 4.6 ,
40, Apadana," Kebab, Wraps, Lebanese, and Mezze", 4.5 ,
41, Pepe's Piri Piri," Chicken, Fried chicken, and Burgers", 4.6 ,
42, coco & bibi," Korean, Chicken, Asian, and Dumplings", 4.8 ,
43, Famous Pizza," Pizza, Burgers, Italian, and Chicken", 4.6 ,
44, Local Greens by Kitchen Ventures," Healthy, British, Salads, and Chicken", 4.8 ,
45, Baker and Spice - Chelsea," Greek, Salads, Mediterranean, and Italian", 4.7 ,
46, Barburrito 🌯," American, Burritos, Mexican, and Chicken", 4.5 ,
47, OTTOLENGHI," Chicken, Dessert, Mezze, and Brunch", 4.8 ,
48, Farmshop," Chicken, Dessert, British, and Steak", 4.9 ,
49, Foxden Restaurant," British, Burgers, Alcohol, and Chicken", 4.7 ,
50, Poke Circle," Salads, Poke, Hawaiian, and Asian", 4.8 ,
51, Chick Pop," Burgers, American, Dessert, and Chicken", 4.6 ,
52, Chicken and Cevapi, Chicken and Mediterranean, 4.7 ,
53, Wicked Burgers ," American, Burgers, Chicken, and British", 4.5 ,
54, Chicken Hub - Paddington," Fried chicken, BBQ, Burgers, and Wraps", 4.5 ,
55, Tinseltown," American, Burgers, Chicken, and Milkshakes", 4.5 ,
56, Chefly," Salads, British, Healthy, and Chicken", 4.5 ,
57, Mahdi Restaurant," Grill, Curry, Chicken, and Seafood", 4.6 ,
58, The Blue Moon 蓝月," Chinese, Chicken, Dim Sum, and Seafood", 4.6 ,
59, Ocean Fresh ," Burgers, Chicken, American, and BBQ", 4.4 ,
60, Wraps & Wings," Burgers, Wraps, Wings, and Chicken", 4.4 ,
61, Thai Street Food, Thai and Chicken, 4.3 ,
62, Roosters Piri Piri," Chicken, American, Dessert, and Burgers", 4.6 ,
63, Eat Beirut," Lebanese, Chicken, Salads, and Mezze", 4.8 ,
64," MangiaTutto - Pizza, Pasta and Grill"," Salads, Pizza, Pasta, and Romanian", 4.7 ,
65, Kings Mediterranean," Kebab, Mediterranean, Mezze, and Turkish", 4.4 ,
66, Wicked Wings," American, Chicken, Wings, and Burgers", 4.5 ,
67, Farmbird by Kitchen Ventures," British, Chicken, Healthy, and Salads", 4.7 ,
68, Omakase," Japanese, Chicken, and Sushi", 4.7 ,
69, The Kensington Grill," Kebab, Wraps, Lebanese, and Mezze", 4.1 ,
70, Afrik 'N' Fusion," Chicken, African, Burgers, and Grill", 4.7 ,
