index,name,services,rating,bonus
1, Nando's, Chicken and Burgers, 4.6 ,"Free
delivery"
2, Five Guys - Burger and Fries," American, Burgers, and Milkshakes", 4.6 ,"Free
delivery"
3, Coqfighter," Burgers, Chicken, Wings, and British", 4.6 ,"Free
delivery"
4, Nando's - Balham, Chicken and Burgers, 4.7 ,"Free
delivery"
5, Maria's ," Fish and chips, British, and Burgers", 4.6 ,"Meal
deals"
6, Byron Burgers," Burgers, American, and Alcohol", 4.4 ,"15%
off"
7, Out Fry - Korean Chicken (Balham)," Fried chicken, Korean, Asian, and Dessert", 4.6 ,"Free
delivery"
8, Gourmet Burger Kitchen (GBK)," American, Burgers, and Alcohol", 4.4 ,"Free
delivery"
9, Hache," Burgers, American, Chicken, and Alcohol", 4.6 ,"Free
delivery"
10, Clean Kitchen - Vegan," American, Salads, Burgers, and Healthy", 4.5 ,"30%
off"
11, Dirty Bones," Burgers, Chicken, American, and British",no rating,"Free
delivery"
12, Vintage Fish," Fish and chips, British, Brunch, and Chicken", 4.5 ,"Free
delivery"
13, by CHLOE," Burgers, American, Salads, and Healthy", 4.7 ,"Free
delivery"
14, Poptata - Loaded Fries & Chicken," American, Burgers, and Chicken", 4.6 ,"Free
delivery"
15, Sam's Chicken," Chicken, Fried chicken, Wraps, and British", 4.5 ,"Meal
deals"
16, THE ORANGE BUFFALO," American, Wings, BBQ, and Fried chicken", 4.6 ,"Free
delivery"
17, Calowries," Wraps, Healthy, Salads, and Burgers", 4.8 ,"Meal
deals"
18, Honest Burgers ," American, Burgers, Wings, and British", 4.5 ,"Free
delivery"
19, Chicken Cottage," Chicken, Fried chicken, Wings, and American", 4.4 ,"Meal
deals"
20, Habaneros," Chicken, American, Burgers, and Milkshakes", 4.5 ,"Free
item"
21, King Roosters," Burgers, Fried chicken, Kebab, and Wraps", 4.3 ,"Free
delivery"
22, Handmade Burger Co - Wandsworth," Burgers, BBQ, Milkshakes, and American", 4.2 ,"30%
off"
23, Doner Inn," Burgers, Chicken, Kebab, and Pizza", 4.2 ,"Free
delivery"
24, Epic Vegan Chick ," American, Burgers, and Fried chicken", 4.6 ,"Free
delivery"
25, Papas Tops Pizza," Pizza, Dessert, Burgers, and Pasta", 4.5 ,"Free
delivery"
26, EGGRUN 🥚🏃‍♂️," Sandwiches, Breakfast, Brunch, and Burgers", 4.8 ,"25%
off"
27, Hudson's," British, Burgers, Salads, and Brunch", 4.6 ,
28, New Morley," Chicken, Western, Burgers, and BBQ", 4.2 ,
29, Piri Piri Grill - 14 Upper Tooting Road," Chicken, American, Fried chicken, and Burgers", 4.5 ,
30, Seascape Fish Bar," Seafood, Fish and chips, Burgers, and Chicken", 4.6 ,
31, Gourmet 2," Lebanese, Falafel, Mezze, and Dessert", 4.6 ,
32, Chicken Corner," American, Chicken, Burgers, and Salads", 4.3 ,
33, Victoria Grill Peri Peri," Burgers, Wraps, Chicken, and Salads", 4.7 ,
34, VBELLY , British and Burgers, 4.7 ,
35, Amigos Burgers ," Burgers, Chicken, American, and Milkshakes", 4.6 ,
