index,name,services,rating,bonus
47, Bombay Palace," Indian, Curry, Chicken, and Asian", 4.7 ,
48, Pepe's Piri Piri," Chicken, Fried chicken, and Burgers", 4.6 ,
49, Diba," Mezze, Middle Eastern, Dessert, and Chicken", 4.5 ,
50, Poke Circle," Salads, Poke, Hawaiian, and Asian", 4.8 ,
51, Barburrito 🌯," American, Burritos, Mexican, and Chicken", 4.5 ,
52, Plum Valley Restaurant 梅花村," Dim Sum, Noodles, Cantonese, and Chinese", 4.7 ,
53, Farmshop," Chicken, Dessert, British, and Steak", 4.9 ,
54, Famous Pizza," Pizza, Burgers, Italian, and Chicken", 4.6 ,
55, Amigos Burgers and Shakes," Burgers, Chicken, American, and Milkshakes", 4.3 ,
56, Baker and Spice - Chelsea," Greek, Salads, Mediterranean, and Italian", 4.7 ,
57, 🍕⚡️BROOKLYN PIZZA CREW 🍕⚡️," Chicken, Dessert, American, and Salads", 4.6 ,
58, Foxden Restaurant," British, Burgers, Alcohol, and Chicken", 4.7 ,
59, OTTOLENGHI," Chicken, Dessert, Mezze, and Brunch", 4.8 ,
60, King of Wings," American, Dessert, Burgers, and Chicken", 4.7 ,
61, Wicked Burgers ," American, Burgers, Chicken, and British", 4.5 ,
62, Chicken Hub - Paddington," Fried chicken, BBQ, Burgers, and Wraps", 4.5 ,
63, Haidilao Hot Pot 海底捞," Chinese, Hot pot, Chicken, and Sichuan", 4.9 ,
64, Chick Pop," Burgers, American, Dessert, and Chicken", 4.6 ,
65, Farmbird by Kitchen Ventures," British, Chicken, Healthy, and Salads", 4.7 ,
66, Bluebird Chelsea Café," Salads, British, American, and Sandwiches", 4.7 ,
67, Bombay Street Food," Indian, Chicken, Asian, and Curry", 4.8 ,
68, Chefly," Salads, British, Healthy, and Chicken", 4.5 ,
69, Tinseltown," American, Burgers, Chicken, and Milkshakes", 4.5 ,
70, Satay House," Malaysian, Chicken, and Noodles", 4.8 ,
