index,name,services,rating,bonus
39, The Locals Chelsea," Salads, Sandwiches, Healthy, and Brunch", 4.9 ,
40, EggsQuisite," British, Breakfast, Brunch, and American", 4.7 ,
41, Pepe's Piri Piri," Chicken, Fried chicken, and Burgers", 4.6 ,
42, Harrods Dining Hall," British, Italian, Pasta, and Steak", 4.8 ,
43, The Farmer's Mistress," British, Burgers, Salads, and Milkshakes", 4.8 ,
44, Dirty Vegan," American, Burgers, and Drinks", 4.6 ,
45, Famous Pizza," Pizza, Burgers, Italian, and Chicken", 4.6 ,
46, Amigos Burgers and Shakes," Burgers, Chicken, American, and Milkshakes", 4.3 ,
47, Foxden Restaurant," British, Burgers, Alcohol, and Chicken", 4.7 ,
48, King of Wings," American, Dessert, Burgers, and Chicken", 4.7 ,
49, Wicked Burgers ," American, Burgers, Chicken, and British", 4.5 ,
50, Chicken Hub - Paddington," Fried chicken, BBQ, Burgers, and Wraps", 4.5 ,
51, Chick Pop," Burgers, American, Dessert, and Chicken", 4.6 ,
52, Bluebird Chelsea Café," Salads, British, American, and Sandwiches", 4.7 ,
53, Tinseltown," American, Burgers, Chicken, and Milkshakes", 4.5 ,
54, FoodSlut x Mall Tavern Burger Collaboration," Burgers, American, Chicken, and Alcohol", 4.6 ,
55, Wicked Wings," American, Chicken, Wings, and Burgers", 4.5 ,
56, Wraps & Wings," Burgers, Wraps, Wings, and Chicken", 4.4 ,
57, Roosters Piri Piri," Chicken, American, Dessert, and Burgers", 4.6 ,
58, Smack Lobster Roll ," American, Sandwiches, Burgers, and Seafood", 4.7 ,
59, Aubaine," French, Dessert, Burgers, and Salads", 4.7 ,
60, Siirgista Bros Burger Bar," Burgers, American, Milkshakes, and Wings", 4.5 ,
61, Filth & Co," Burgers, Milkshakes, and Drinks", 4.4 ,
62, Wulf & Lamb," Breakfast, Salads, Dessert, and Burgers", 4.8 ,
63, Little Planted Kitchen ," British, Healthy, Salads, and Burgers", 4.7 ,
64, Bluebelles of Portobello," British, American, Sandwiches, and Burgers", 4.7 ,
65, Gaucho Wine Shop," Steak, Alcohol, Argentinian, and Wine", 4.8 ,
66, Stecca," Italian, Pasta, Healthy, and Burgers", 4.7 ,
67, Tomtom Coffee House," Burgers, Breakfast, and Coffee", 4.8 ,
68, Lil’Pecker," Chicken, Dessert, American, and Milkshakes", 4.3 ,
69, House of Kebab," Burgers, Salads, Turkish, and Wraps", 4.0 ,
70, Roosters Piri Piri ," Burgers, Chicken, Wraps, and Wings", 4.6 ,
