index,name,services,rating,bonus
1, Fu Bao," Chicken, BBQ, Asian, and Taiwanese", 3.9 ,"Meal
deals"
2, Nando's, Chicken and Burgers, 4.6 ,"Free
delivery"
3, Jakob's Kitchen," Mediterranean, Middle Eastern, Lebanese, and Chicken", 4.8 ,"25%
off"
4, BabaBoom - Battersea," Middle Eastern, Kebab, Chicken, and Falafel", 4.7 ,"Free
delivery"
5, Kokoro ," Sushi, Japanese, Curry, and Chicken", 4.8 ,"Free
delivery"
6, KFC," Chicken, Fried chicken, Wings, and American", 3.9 ,"Free
delivery"
7, Wingstop," American, Wings, Fried chicken, and Chicken", 4.7 ,"Meal
deals"
8, Chilango," Burritos, Mexican, Chicken, and Salads", 4.7 ,"Meal
deals"
9, Three Uncles," Chinese, BBQ, Chicken, and Noodles", 4.7 ,"Free
delivery"
10, Coqfighter," Burgers, Chicken, Wings, and British", 4.6 ,"Free
delivery"
11, Mikos Gyros," Greek, Chicken, Alcohol, and Kebab", 4.7 ,"Free
delivery"
12, Nando's - Balham, Chicken and Burgers, 4.7 ,"Free
delivery"
13," 🍕⚡️BROOKLYN PIZZA CREW 🍕⚡️ - 20"" Pizzas"," Pizza, Dessert, Chicken, and American", 4.5 ,"20%
off"
14, Waleema," Lebanese, Salads, Falafel, and Wraps", 4.7 ,"20%
off"
15, Out Fry - Korean Chicken (Balham)," Fried chicken, Korean, Asian, and Dessert", 4.6 ,"Free
delivery"
16, Burger & Beyond," Burgers, American, Chicken, and Fried chicken", 4.6 ,"Meal
deals"
17, Pasha Mangal," Turkish, Chicken, BBQ, and Salads", 4.7 ,"Free
delivery"
18, Hache," Burgers, American, Chicken, and Alcohol", 4.5 ,"Free
delivery"
19, Meat & Shake," American, Burgers, Chicken, and BBQ", 4.5 ,"Free
delivery"
20, Sam's Chicken," Chicken, Fried chicken, Wraps, and British", 4.5 ,"Meal
deals"
21, Poptata - Loaded Fries & Chicken," American, Burgers, and Chicken", 4.6 ,"30%
off"
22, Vintage Fish," Fish and chips, British, Brunch, and Chicken", 4.5 ,"Free
delivery"
23, Remedy Kitchen," Healthy, Chicken, and Salads", 4.8 ,"25%
off"
24, Thunderbird - Award Winning Chicken," American, Burgers, Chicken, and Fried chicken", 4.4 ,"Free
delivery"
25, Bird and Tie," Fried chicken, American, Burgers, and Chicken", 4.6 ,"25%
off"
26, Little Korea ," Korean, Fried chicken, Noodles, and Asian", 4.7 ,"Free
delivery"
27, SoBe Burger," American, Burgers, Drinks, and Dessert", 4.4 ,
28, Bosa Kitchen," Mezze, Lebanese, Turkish, and Chicken", 4.6 ,
29, Dirty Bones," Burgers, Chicken, American, and British",no rating,
30, Classic Sushi," Sushi, Japanese, Asian, and Salads", 4.7 ,
